,guest_size,total_interactions,message_length,total_reviews,lead_time,days_of_stay,reply_t,accepted,contact_me,past_booker
221,4.0,2,453.0,1.0,183,6,216.13333333333333,0,1,1
222,3.0,5,138.0,1.0,55,1,2213.433333333333,0,0,1
224,10.0,2,96.0,7.0,125,2,1351.9333333333334,0,1,0
225,4.0,5,40.0,0.0,16,2,786.6333333333333,0,0,1
226,3.0,6,352.0,0.0,38,23,62.48333333333334,1,1,0
228,1.0,4,258.0,20.0,5,7,113.56666666666666,1,1,0
229,4.0,2,167.0,0.0,57,1,161.2,0,1,0
230,4.0,5,249.0,5.0,68,2,761.35,1,1,0
231,4.0,21,87.0,0.0,29,9,0.7,0,0,0
232,5.0,3,141.0,0.0,68,7,1427.55,0,1,0
234,5.0,2,205.0,1.0,24,6,817.5833333333335,0,0,0
235,3.0,2,229.0,1.0,59,3,1485.8666666666666,0,1,0
236,5.0,6,405.0,1.0,18,1,134.86666666666667,0,0,0
237,1.0,8,82.0,1.0,99,11,18.58333333333333,1,1,0
240,6.0,50,277.0,0.0,66,8,518.1500000000002,1,1,1
241,3.0,33,103.0,0.0,152,5,564.0,1,0,1
242,1.0,3,49.0,0.0,120,3,63.3,0,0,0
243,4.0,2,225.0,0.0,26,3,533.1500000000002,0,1,1
244,3.0,6,166.0,67.0,118,5,231.28333333333333,1,0,1
245,2.0,4,213.0,3.0,176,5,17.55,0,1,1
246,4.0,12,0.0,26.0,139,2,44.68333333333333,1,0,0
247,2.0,3,211.0,0.0,209,7,109.93333333333334,0,0,1
248,2.0,23,229.0,56.0,56,3,163.6,1,0,1
249,2.0,4,206.0,2.0,26,3,1392.2,0,0,0
250,2.0,6,0.0,4.0,24,30,1203.3833333333334,0,0,0
251,3.0,2,351.0,0.0,199,6,5.183333333333334,0,0,1
252,4.0,4,119.0,1.0,186,15,1385.4,0,1,0
253,2.0,56,178.0,0.0,0,152,0.9833333333333336,1,1,0
255,2.0,3,405.0,0.0,31,3,165.35,0,0,1
257,1.0,6,588.0,87.0,0,3,30.600000000000005,1,1,1
258,1.0,6,108.0,4.0,3,1,1424.55,1,0,1
259,1.0,4,86.0,2.0,85,10,89.0,0,1,1
261,2.0,3,139.0,27.0,29,5,586.5,1,1,0
262,4.0,25,321.0,1.0,109,10,32.46666666666667,1,1,0
263,2.0,3,112.0,9.0,22,2,582.2833333333333,1,1,0
264,1.0,3,28.0,0.0,176,21,15632.883333333335,1,1,1
265,1.0,7,193.0,15.0,9,29,14.95,1,1,0
266,6.0,2,325.0,0.0,9,2,909.1,0,1,0
267,3.0,6,669.0,3.0,193,19,67.95,0,1,0
268,2.0,17,112.0,22.0,4,4,10.133333333333333,1,1,0
269,2.0,7,0.0,11.0,7,2,133.28333333333336,1,0,1
270,2.0,3,484.0,35.0,171,5,546.2166666666667,0,1,0
271,4.0,2,159.0,5.0,200,7,1259.4666666666667,0,1,0
273,1.0,51,165.0,4.0,22,2,16.116666666666667,1,0,1
274,1.0,26,96.0,0.0,78,11,64.30000000000001,1,0,0
275,1.0,13,221.0,1.0,10,13,2.0500000000000003,0,1,0
276,6.0,4,163.0,0.0,104,9,22.93333333333333,0,1,1
277,1.0,4,172.0,0.0,179,29,1033.3333333333335,0,1,0
278,3.0,3,61.0,39.0,34,4,6.75,1,1,0
279,2.0,10,190.0,43.0,12,4,64.51666666666668,1,1,1
280,2.0,8,88.0,1.0,17,2,1151.9833333333333,0,0,1
281,3.0,3,220.0,5.0,388,7,0.8333333333333334,0,1,0
282,4.0,2,287.0,0.0,92,5,78.65,0,1,1
283,2.0,4,1032.0,0.0,134,8,2797.333333333333,0,1,0
285,4.0,23,54.0,6.0,2,4,0.18333333333333326,1,1,0
286,2.0,5,223.0,1.0,75,2,266.75000000000006,0,0,1
287,4.0,3,138.0,0.0,16,5,15.666666666666668,1,1,0
288,4.0,4,0.0,0.0,62,3,28.516666666666666,1,0,1
290,1.0,5,345.0,4.0,6,2,589.4166666666666,0,1,0
291,4.0,3,334.0,0.0,5,6,34.88333333333333,0,0,0
292,1.0,17,37.0,30.0,14,4,192.98333333333332,0,0,0
293,2.0,3,60.0,0.0,96,21,36.2,0,1,1
296,2.0,31,41.0,3.0,39,4,33.66666666666667,1,0,0
297,2.0,3,209.0,3.0,9,5,2108.4833333333336,0,1,1
298,8.0,2,166.0,1.0,269,5,48.95,0,1,0
299,4.0,2,284.0,1.0,184,10,2587.85,0,1,0
300,2.0,3,14.0,6.0,34,13,9.533333333333333,0,0,0
301,6.0,3,142.0,1.0,181,2,1286.3,0,1,0
302,2.0,7,27.0,19.0,0,5,67.43333333333334,1,0,1
303,1.0,6,37.0,1.0,81,7,202.9,0,1,1
304,3.0,8,286.0,0.0,43,3,33.41666666666667,1,0,0
305,8.0,6,164.0,0.0,189,16,7.8000000000000025,1,1,1
307,3.0,68,47.0,1.0,2,4,9.8,0,1,0
308,2.0,3,72.0,113.0,3,3,174.01666666666668,1,1,1
309,3.0,2,324.0,0.0,96,15,1163.8166666666666,0,1,1
310,4.0,10,0.0,13.0,9,5,86.35,1,0,0
312,3.0,3,128.0,16.0,78,22,1463.25,0,1,0
314,2.0,12,180.0,44.0,45,4,171.2,1,0,0
315,1.0,14,38.0,96.0,5,4,48.1,1,0,1
316,1.0,7,83.0,0.0,69,10,353.1,1,1,1
317,2.0,3,224.0,10.0,5,4,277.51666666666665,1,0,1
319,2.0,4,199.0,0.0,82,6,221.1833333333333,0,1,0
320,1.0,2,128.0,0.0,20,5,56.1,0,1,0
321,2.0,4,303.0,7.0,5,5,11290.25,0,0,0
322,1.0,13,541.0,5.0,85,15,1071.2166666666667,0,1,1
324,2.0,5,502.0,0.0,7,2,17.15,0,1,1
325,1.0,41,211.0,26.0,33,3,385.63333333333327,1,1,1
326,4.0,3,6.0,1.0,136,16,1102.0666666666666,0,0,1
328,4.0,2,337.0,1.0,216,5,863.8,0,1,0
329,3.0,14,358.0,5.0,59,3,28.266666666666666,1,0,1
330,1.0,20,335.0,4.0,125,5,246.01666666666668,1,0,1
332,6.0,36,101.0,0.0,105,4,18.766666666666666,1,1,0
333,1.0,3,128.0,0.0,0,4,1.65,0,1,1
334,2.0,2,208.0,130.0,27,6,2.433333333333333,0,1,1
335,4.0,2,124.0,6.0,196,2,38.88333333333333,0,1,0
336,1.0,4,444.0,111.0,68,5,309.05,0,1,1
338,5.0,4,331.0,0.0,17,119,26.8,0,1,0
339,2.0,3,130.0,5.0,54,30,5.716666666666668,0,1,1
341,2.0,2,222.0,2.0,29,5,288.68333333333334,0,1,0
343,3.0,14,225.0,1.0,9,5,26.91666666666667,1,1,0
345,4.0,3,57.0,0.0,179,11,188.13333333333333,0,1,0
346,8.0,3,168.0,0.0,256,11,5861.966666666666,0,1,0
348,8.0,2,194.0,0.0,29,7,3.9666666666666672,0,1,0
350,1.0,7,68.0,2.0,68,6,7.533333333333332,1,0,0
351,1.0,20,8.0,0.0,116,16,1565.6333333333334,0,0,0
352,6.0,10,261.0,38.0,168,4,83.8,1,1,0
